set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_COAGULATION,0.5002693411566091,2.103492482709297,0.0,0.0036925917378259868,CRIP2;DUSP6;FN1;CFH;TIMP1;HTRA1;TIMP3;C9;CLU;GSN;SERPINA1;MMP7;KLF7;THBD;CD9;CFD;SIRT2;LGMN;ITGA2;USP11;CFI;GNG12;ISCU;CSRP1;C1QA;FGG;PLAU;PECAM1,72
HALLMARK_ANGIOGENESIS,0.6385854831883956,2.0766131551622053,0.0,0.0018462958689129934,SPP1;TIMP1;APP;CCND2;SLCO2A1;LRPAP1;PDGFA;ITGAV;THBD,22
HALLMARK_MYOGENESIS,0.3917035978584115,1.7102297558161463,0.0,0.028925301946303564,PTP4A3;APP;COL4A2;CLU;PICK1;IFRD1;SYNGR2;MYL1;CD36;AGRN;SH2B1;ACSL1;GSN;GPX3;NAV2;COL1A1;LPIN1;CFD;SIRT2;EIF4A2;ITGB5;AGL;HSPB8;GABARAPL2;PLXNB2;RB1;AK1;MAPRE3,89
HALLMARK_P53_PATHWAY,0.34555177870857784,1.6790647604993283,0.0,0.02723286406646665,ZMAT3;TM7SF3;ABCC5;ALOX15B;APP;ZFP36L1;RHBDF2;KRT17;CCND2;PHLDA3;RALGDS;STEAP3;AEN;CD82;PDGFA;HRAS;ZBTB16;FOS;CASP1;PLK3;RRAD;FOXO3;KLF4;JUN;RAD51C;TSC22D1;BAX;XPC;ACVR1B;FGF13;SDC1;WWP1;ISCU;CD81;PLXNB2;RB1;AK1;TP63;SESN1;EPHX1;SLC19A2;TAX1BP3;EI24;SOCS1;VAMP8;RAB40C;HMOX1;TXNIP,161
HALLMARK_ANDROGEN_RESPONSE,0.3802497349616632,1.6772478621458242,0.0,0.021786291253173322,HMGCS1;HSD17B14;FKBP5;LMAN1;TMPRSS2;INSIG1;B4GALT1;DNAJB9;IDI1;CCND1;ITGAV;ABHD2;CAMKK2;B2M;STK39;AKT1;ADAMTS1;PTK2B;TSC22D1;PTPN21;LIFR;STEAP4;NCOA4;RAB4A;HMGCR;CDK6;ACTN1,90
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.34528648836052983,1.6585534479164346,0.0,0.02061697053619509,KAZN;RETREG1;RHOBTB3;TIPARP;CA12;FKBP5;SYBU;PDLIM3;JAK2;MICB;B4GALT1;RHOD;FOS;TFAP2C;TMEM164;RASGRP1;NAV2;CCND1;IGFBP4;AQP3;CANT1;ABCA3;ABHD2;SLC1A1;FDFT1;KLF4;THSD4;AREG;AKAP1;SEMA3B;FLNB;GJA1;DLC1;GLA;HSPB8;CLIC3;KRT18;KDM4B;SLC19A2;FKBP4;TGM2;BCL2;CISH;SULT2B1;PAPSS2;LAD1,143
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.36304083245850904,1.624384181654988,0.002857142857142857,0.02611189871748376,FN1;SPP1;TIMP1;MGP;RHOB;COL4A2;HTRA1;TIMP3;NNMT;SERPINH1;VIM;GPC1;IGFBP4;ITGAV;COL1A1;LGALS1;TPM4;PLOD1;CADM1;JUN;MATN2;ITGA2;AREG;NTM;GJA1;MYL9;ITGB5;DST;SDC1,100
HALLMARK_COMPLEMENT,0.34202230417764656,1.5992855930528307,0.0,0.03000230786983614,FCER1G;DUSP6;FN1;CFH;TIMP1;JAK2;COL4A2;PLA2G4A;C9;DOCK4;CLU;ERAP2;CD36;CASP1;PDP1;AKAP10;RASGRP1;SERPINA1;CTSS;RCE1;CTSL;GMFB;DGKH;LGMN;PSMB9;PRCP;CPM;CSRP1;TIMP2;C1QA;XPNPEP1;PIM1;HSPA5,133
HALLMARK_G2M_CHECKPOINT,-0.35090554924449674,-1.568215301739557,0.0,0.13098395857016545,GINS2;PBK;YTHDC1;NUP98;CENPA;CDC7;BCL3;TPX2;TMPO;KIF22;SMC1A;RACGAP1;RPA2;UBE2S;UPF1;DTYMK;POLA2;MYBL2;POLQ;CUL3;MCM6;STMN1;CCNT1;NSD2;PDS5B;SMAD3;ATF5;BUB1;ORC5;CHEK1;ARID4A;CKS1B;MCM2;KATNA1;RBL1;CUL1;PAFAH1B1;G3BP1;DKC1;POLE;HMMR;DBF4;HIF1A;BRCA2;KMT5A;CDC25B;ABL1;KIF11;LBR;MCM5;HUS1;SQLE;ILF3;PLK4;NUSAP1;CBX1;KIF4A;FANCC;SLC7A1;TENT4A;E2F1;TLE3;CDK1;MYC;ODF2;KNL1;CCNA2;UBE2C;PRIM2;CDKN1B,168
HALLMARK_ALLOGRAFT_REJECTION,0.34578777925539933,1.5411581006415227,0.022535211267605635,0.043285380926737956,BCAT1;TIMP1;JAK2;CD74;IL7;HLA-DQA1;CCND2;MAP3K7;HLA-DMB;HLA-DRA;STAT4;ELF4;ITGB2;CTSS;CCL2;FGR;EREG;SPI1;ICAM1;B2M;AKT1,96
