cohort,celltype,n_donors_ipf,n_donors_control,ipf_AREG,control_AREG,delta_AREG,ipf_HBEGF,control_HBEGF,delta_HBEGF,ipf_EREG,control_EREG,delta_EREG,ipf_EGFR,control_EGFR,delta_EGFR
E2_GSE136831,VE_Arterial,5,3,0.1667,0.0882,0.0785,0.2333,0.1471,0.0862,0.0263,0.0294,-0.0031,0.3333,0.2115,0.1218
E2_GSE136831,cDC2,28,20,0.8739,0.9413,-0.0675,0.4438,0.3865,0.0573,0.3338,0.5931,-0.2593,0.0043,0.0,0.0043
E2_GSE136831,VE_Capillary_B,6,4,0.1583,0.0926,0.0656,0.1094,0.0631,0.0463,0.0,0.0202,-0.0202,0.3473,0.1539,0.1933
E2_GSE136831,Macrophage,32,28,0.5023,0.5506,-0.0483,0.3679,0.3305,0.0375,0.4007,0.4739,-0.0732,0.006,0.0052,0.0008
E2_GSE136831,VE_Capillary_A,3,3,0.1,0.0862,0.0138,0.0667,0.0345,0.0322,0.0,0.0172,-0.0172,0.3,0.2286,0.0714
E2_GSE136831,B_Plasma,3,5,0.2593,0.3,-0.0407,0.05,0.0256,0.0244,0.05,0.1,-0.05,0.0,0.0,0.0
E2_GSE136831,Macrophage_Alveolar,31,26,0.3012,0.2736,0.0277,0.4372,0.4174,0.0197,0.2187,0.2364,-0.0177,0.0069,0.0081,-0.0012
E2_GSE136831,ATII,7,13,0.7547,0.5487,0.206,0.186,0.1667,0.0193,0.093,0.0568,0.0362,0.434,0.4886,-0.0546
E2_GSE136831,B,25,15,0.186,0.1854,0.0006,0.0091,0.0,0.0091,0.0155,0.0345,-0.019,0.0,0.0,0.0
E2_GSE136831,Multiplet,26,12,0.5068,0.5383,-0.0315,0.2861,0.2784,0.0076,0.236,0.2493,-0.0133,0.2243,0.1741,0.0502
E2_GSE136831,Lymphatic,15,15,0.0465,0.0476,-0.0011,0.0303,0.0316,-0.0013,0.0233,0.02,0.0033,0.0,0.0,0.0
E2_GSE136831,T,30,19,0.2225,0.1566,0.0659,0.0244,0.0261,-0.0018,0.01,0.0112,-0.0011,0.0,0.0,0.0
E2_GSE136831,T_Cytotoxic,29,17,0.1906,0.2119,-0.0213,0.0101,0.0136,-0.0035,0.0102,0.0292,-0.019,0.0,0.0012,-0.0012
E2_GSE136831,NK,29,19,0.6223,0.7089,-0.0866,0.0112,0.0154,-0.0042,0.0102,0.0157,-0.0055,0.0,0.0,0.0
E2_GSE136831,T_Regulatory,17,5,0.08,0.0909,-0.0109,0.0213,0.0256,-0.0043,0.0263,0.0,0.0263,0.0,0.0,0.0
E2_GSE136831,Ciliated,32,13,0.1758,0.1739,0.0019,0.0388,0.0481,-0.0093,0.0318,0.0385,-0.0067,0.3226,0.283,0.0396
E2_GSE136831,Fibroblast,21,10,0.0746,0.0902,-0.0156,0.0522,0.0773,-0.0251,0.0167,0.0367,-0.02,0.65,0.5685,0.0815
E2_GSE136831,cMonocyte,30,22,0.7819,0.755,0.0269,0.4038,0.4338,-0.03,0.5605,0.6614,-0.1009,0.0,0.003,-0.003
E2_GSE136831,cDC1,7,4,0.7179,0.8379,-0.12,0.1053,0.1422,-0.0369,0.05,0.0227,0.0273,0.0,0.0114,-0.0114
E2_GSE136831,ncMonocyte,23,14,0.4762,0.4633,0.0129,0.2286,0.4037,-0.1751,0.2031,0.3939,-0.1908,0.0,0.0,0.0
E3_GSE135893,cDCs,11,3,0.65,0.9545,-0.3045,0.323,0.2273,0.0957,0.0786,0.1111,-0.0325,0.0,0.0,0.0
E3_GSE135893,AT2,10,8,0.7107,0.5691,0.1417,0.1969,0.1164,0.0805,0.0355,0.0169,0.0187,0.2314,0.4159,-0.1845
E3_GSE135893,Differentiating Ciliated,5,3,0.3286,0.2045,0.1241,0.0651,0.0,0.0651,0.02,0.0,0.02,0.3657,0.4318,-0.0661
E3_GSE135893,SCGB3A2+ SCGB1A1+,11,3,0.3235,0.0439,0.2796,0.0588,0.0,0.0588,0.0203,0.0,0.0203,0.1724,0.2353,-0.0629
