accession,file,cells,genes,peaks,libraries_in_file,annotation_rows,annotation_rows_unmatched,genes_with_a_promoter_peak
GSE310539,totalaggr,39849,32287,178178,4,215628,0,19086
GSE247130,P9,23458,32286,169112,2,204390,0,18821
GSE247130,7wk,18427,32286,148364,2,179857,0,18217
GSE247130,SeV,22409,32286,208941,2,252141,0,19471
