accession,gsm,library,timepoint,sort,n_barcodes,paper_rule_cells,floor_rule_cells,floor_only_barcodes,paper_only_barcodes,mad_removed,binding_bounds,cells_after_qc,scrublet_expected_rate,scrublet_threshold,scrublet_method,doublets_flagged,cells_final,median_counts,median_genes,median_pct_mt,paper_scrublet_score_gt_0.7,object,treatment
GSE145031,GSM4304609,PBS_AT2_Tomato,PBS,Tomato,737280,4418,6574,2156,0,98,pct_mt:removed_high,4320,0.03456,0.42870180266350993,scrublet automatic threshold,1,4319,4775.5,1568.0,5.417104970280347,0,GSE145031\choi_trials\PBS_AT2_Tomato.h5ad,
GSE145031,GSM4304610,PBS_AT2_nonTomato,PBS,nonTomato,737280,6963,12558,5595,0,410,total_counts:removed_high;pct_mt:removed_high,6553,0.052424,0.5720757961327718,scrublet automatic threshold,1,6552,4101.0,1977.0,3.462798315395414,0,GSE145031\choi_trials\PBS_AT2_nonTomato.h5ad,
GSE145031,GSM4304611,Day14_AT2_Tomato,day 14,Tomato,737280,4226,5070,844,0,436,pct_mt:removed_high,3790,0.03032,0.38035022602673685,scrublet automatic threshold,0,3790,7902.0,2267.5,3.1404077766686136,0,GSE145031\choi_trials\Day14_AT2_Tomato.h5ad,
GSE145031,GSM4304612,Day14_AT2_nonTomato,day 14,nonTomato,737280,4584,8977,4393,0,446,pct_mt:removed_high,4138,0.033104,0.414629575796172,scrublet automatic threshold,0,4138,5089.5,2237.0,3.4124105058679213,0,GSE145031\choi_trials\Day14_AT2_nonTomato.h5ad,
GSE145031,GSM4304613,Day28_AT2_Tomato,day 28,Tomato,737280,4221,5478,1257,0,646,pct_mt:removed_high,3575,0.0286,0.35982188272189775,scrublet automatic threshold,1,3574,7543.0,2089.0,2.6607309245263484,0,GSE145031\choi_trials\Day28_AT2_Tomato.h5ad,
GSE145031,GSM4304614,Day28_AT2_nonTomato,day 28,nonTomato,737280,5694,11120,5426,0,439,pct_mt:removed_high,5255,0.04204,0.5008792714738662,scrublet automatic threshold,3,5252,4764.0,2126.0,3.035377852208499,0,GSE145031\choi_trials\Day28_AT2_nonTomato.h5ad,
GSE144468,GSM4288824,Control_Organoids,,,2101,2083,2101,18,0,207,n_genes:removed_low;pct_mt:removed_high,1876,0.015008,0.11744013741510784,scrublet automatic threshold,8,1868,15197.0,3672.0,4.102860502674471,0,GSE144468\choi_trials\Control_Organoids.h5ad,control
GSE144468,GSM4288825,Il1b_Organoids,,,3066,3059,3066,7,0,358,n_genes:removed_low;pct_mt:removed_high,2701,0.021608000000000002,0.19935662335447457,scrublet automatic threshold,2,2699,11970.0,3270.0,3.939034045922407,0,GSE144468\choi_trials\Il1b_Organoids.h5ad,IL-1beta
