state,median,q25,q75,n
hAT2,0.15595974,0.12507247552275658,0.17302947491407394,9546
DATP,0.39681152,0.2995348870754242,0.47698957473039627,880
AT1,0.5865644,0.46210139989852905,0.7320818305015564,337
