state,median,q25,q75,n
hAT2,0.09890389,0.07978633977472782,0.1096132043749094,9546
DATP,0.26386052,0.1965995468199253,0.31950854510068893,880
AT1,0.3851069,0.3027023673057556,0.48520809412002563,337
