,hAT2,cAT2,DATP,AT1
hAT2,0.0,0.0756867720513584,0.10634199359114963,0.048474680824348367
cAT2,0.0756867720513584,0.0,0.03696578143591954,0.003386942335739413
DATP,0.10634199359114963,0.03696578143591954,0.0,0.8185758525718563
AT1,0.048474680824348367,0.003386942335739413,0.8185758525718563,0.0
