state,median,q25,q75,n
hAT2,0.21079361,0.13614806532859802,0.2922201603651047,2626
DATP,0.58926713,0.4904753267765045,0.6919052451848984,668
AT1,0.5919261,0.5229801535606384,0.6479811072349548,106
